Age,RemoteWork,YearsCode,Knowledge_1,JobSatPoints_1,AISelect,JobSat,JobSatPoints_6,JobSatPoints_8
30,2,15,2,10,1,6,20,10
30,2,6,2,0,1,8,0,20
40,1,15,1,10,0,5,15,20
30,2,9,2,10,1,9,0,45
30,1,10,1,0,1,8,10,20
40,2,21,2,80,0,8,70,60
30,2,8,1,0,1,1,20,10
30,1,9,1,0,0,8,25,25
40,1,20,2,0,0,10,35,0
40,2,35,1,0,1,7,0,0
20,2,10,1,0,0,6,0,0
20,1,8,1,100,0,10,100,100
40,1,23,-1,0,1,3,0,0
40,3,17,1,0,0,6,0,0
50,3,28,1,0,0,10,0,0
20,3,6,1,7,1,7,15,16
30,3,12,1,20,1,8,15,30
50,1,30,2,20,0,9,20,30
40,1,23,1,10,1,7,50,20
40,3,23,2,17,0,10,17,27
50,1,40,1,0,0,9,0,0
40,2,20,1,80,1,9,100,70
40,2,19,2,50,0,4,50,50
20,3,8,2,0,0,8,30,10
30,1,12,0,10,0,6,15,30
40,2,4,2,0,1,5,0,0
30,1,14,1,0,0,7,0,0
30,2,11,2,100,1,9,0,0
30,2,18,1,0,0,5,40,15
30,1,17,2,5,1,9,5,5
50,2,32,2,20,0,8,10,20
20,1,8,1,0,1,7,0,0
30,1,14,-2,0,1,5,0,0
30,2,7,1,50,1,8,80,55
40,1,36,2,0,0,7,7,24
30,2,9,2,10,0,8,20,0
20,2,5,1,0,0,7,30,40
20,1,4,-2,0,1,6,0,0
50,2,30,2,0,0,8,0,0
30,2,20,2,0,0,7,50,10
50,1,33,1,100,1,10,100,70
40,2,26,2,5,0,8,40,15
30,3,9,2,0,0,6,20,30
60,2,41,1,20,0,9,10,10
40,2,2,1,30,1,9,30,0
40,1,3,1,80,1,4,0,20
30,3,10,1,80,1,5,40,60
50,1,30,2,30,1,8,20,20
20,1,4,1,50,1,6,0,20
50,2,33,2,0,1,9,40,0
20,2,7,2,20,1,7,10,20
40,2,9,-1,0,1,9,0,0
40,3,24,1,0,0,5,0,0
40,2,16,2,20,1,8,30,10
30,3,10,2,90,1,9,60,80
30,2,20,2,10,1,7,15,15
40,2,26,1,50,0,6,25,0
30,1,9,-2,20,0,3,20,0
30,2,8,2,30,1,8,30,60
20,2,5,2,0,0,7,15,10
40,1,22,2,0,0,10,50,0
20,3,13,1,5,0,7,25,10
40,2,25,2,20,0,6,0,30
30,2,14,2,10,0,7,35,20
40,1,8,1,30,1,3,30,0
30,3,18,1,0,0,8,0,0
30,1,10,1,80,1,6,50,50
50,1,25,1,5,1,2,30,10
50,1,32,1,0,1,6,0,0
40,1,15,2,0,1,6,20,10
50,2,42,-1,0,0,1,12,3
40,1,16,1,20,1,8,40,5
30,2,10,1,10,1,10,13,2
60,1,45,1,10,0,8,5,40
40,1,19,1,20,1,6,10,20
30,1,12,1,30,0,7,40,40
40,1,20,1,20,0,7,15,20
50,1,30,2,30,0,10,40,0
40,1,20,-2,0,1,5,60,10
40,2,19,1,0,0,9,50,0
40,1,15,0,0,0,8,0,0
40,1,15,1,20,1,8,30,10
30,3,14,2,10,0,8,20,20
30,2,4,2,70,1,7,0,50
50,1,40,2,20,1,7,25,30
40,1,15,2,0,1,10,0,0
40,3,15,1,80,0,5,0,0
40,1,16,0,7,0,9,10,25
50,3,30,1,0,1,7,30,20
40,1,16,-1,25,1,2,0,0
40,1,22,2,0,1,7,0,0
60,1,44,1,10,0,9,25,0
30,1,7,-1,10,1,10,20,5
30,1,6,-2,0,1,8,90,90
40,2,32,1,40,1,7,30,10
30,3,3,2,9,1,2,9,9
60,1,44,2,30,0,5,10,10
50,1,38,1,30,0,5,30,30
30,2,16,2,0,0,2,80,80
50,2,30,-1,10,0,9,25,10
40,3,7,1,0,0,4,0,0
40,3,28,1,20,0,5,0,0
30,2,4,1,0,1,6,20,0
20,3,4,2,5,1,6,7,4
40,1,29,2,40,1,10,30,0
30,1,18,2,80,1,8,0,5
40,1,21,2,50,0,3,25,15
40,1,21,1,10,1,8,20,20
30,3,10,1,0,0,10,0,0
30,3,14,1,0,0,7,10,0
30,3,10,-1,0,1,7,0,0
30,1,6,1,0,1,7,30,10
60,1,40,2,0,0,7,0,0
40,1,20,1,0,1,7,0,0
20,1,9,1,20,1,8,0,10
30,1,20,2,25,1,8,0,0
40,2,18,1,40,1,7,20,15
40,3,25,2,0,0,8,50,25
40,1,20,1,20,0,7,30,30
40,1,20,2,40,1,7,5,30
20,1,5,-1,10,1,7,30,0
40,1,11,2,6,1,7,9,7
40,1,20,2,15,1,8,10,20
30,1,12,2,0,1,9,30,10
30,2,14,1,0,1,6,30,20
50,3,10,1,4,0,6,0,9
30,2,22,1,25,0,7,15,20
30,1,11,1,30,1,7,10,10
30,2,4,2,0,1,8,20,25
65,3,40,1,0,0,8,10,60
40,2,26,1,20,0,7,30,30
50,2,28,-1,70,0,1,10,0
40,2,17,0,20,1,8,25,30
40,2,16,1,0,0,3,10,0
30,3,18,1,0,1,2,25,15
20,3,5,2,20,0,8,30,10
50,2,30,1,10,1,7,20,0
40,3,28,2,10,1,4,30,0
50,2,37,2,10,0,8,20,20
30,1,12,1,20,1,5,20,20
40,2,15,0,20,1,6,20,20
50,1,30,2,0,0,8,30,10
30,3,12,2,0,1,4,0,0
60,1,47,1,20,0,8,30,20
30,2,6,0,0,1,7,80,100
20,3,11,2,15,1,8,20,15
40,1,20,2,30,0,8,10,10
30,1,6,1,20,1,9,20,5
30,1,6,0,0,1,8,10,20
40,1,17,1,20,0,8,20,20
30,2,12,2,10,1,9,10,20
40,1,18,-1,20,1,7,20,10
40,2,36,1,0,1,6,30,10
50,1,32,2,30,0,7,20,0
40,2,19,2,0,1,7,30,90
30,2,10,-1,0,1,5,0,70
60,1,24,1,15,1,0,5,14
50,1,35,0,0,1,2,21,15
30,1,2,2,5,1,9,15,30
40,1,25,2,0,1,8,0,0
30,1,12,1,0,1,9,10,20
30,2,9,1,10,1,6,10,10
40,3,17,2,0,1,8,0,0
30,1,5,2,7,1,3,18,10
60,2,34,1,0,1,7,25,0
20,3,6,1,0,0,8,0,0
30,2,14,1,10,1,7,50,5
50,2,38,1,20,0,6,5,10
40,1,25,2,20,0,5,10,15
30,1,14,0,20,0,3,50,5
50,3,25,2,25,1,9,40,10
30,3,20,2,0,0,6,40,0
40,2,23,2,0,0,8,0,0
30,1,19,2,5,0,8,20,15
50,2,35,2,30,1,8,10,25
40,1,15,1,15,0,8,15,15
30,1,16,2,30,0,7,15,20
50,1,25,2,10,0,8,20,0
20,2,8,1,10,1,6,10,10
30,2,16,2,0,0,6,15,15
20,3,5,-2,0,1,2,0,0
40,3,15,2,30,1,8,5,0
40,1,21,2,40,0,8,30,5
20,2,4,2,15,1,9,15,25
30,1,12,2,0,1,8,0,0
30,1,15,1,0,0,6,0,0
20,3,6,1,90,0,3,0,0
40,1,20,1,0,0,6,35,10
30,2,9,-1,80,0,7,50,90
30,2,11,0,0,1,8,0,0
40,2,17,2,5,0,9,35,25
40,2,20,-1,10,0,8,20,13
40,1,26,2,34,0,6,33,0
40,1,21,2,0,1,8,10,35
30,1,13,1,90,1,9,80,40
40,1,30,2,15,1,8,50,0
60,1,40,2,10,1,10,40,20
40,1,10,1,40,1,7,20,0
40,2,13,1,0,0,8,40,0
50,2,33,1,10,0,8,25,10
30,1,15,1,10,1,8,40,15
40,2,16,1,45,0,7,20,0
50,1,20,2,5,1,8,25,20
30,1,10,1,0,0,2,10,0
65,1,31,2,10,1,9,10,25
30,1,16,1,0,1,2,0,0
40,2,14,1,0,0,6,25,38
30,3,15,2,30,1,8,10,20
30,1,12,1,0,0,5,0,0
60,2,45,2,0,0,8,30,10
30,3,3,-2,8,1,8,8,7
50,1,26,1,10,0,6,40,30
40,2,22,2,1,1,9,20,25
60,1,31,2,10,1,5,20,10
30,1,15,2,35,0,6,15,20
20,1,7,1,60,1,4,20,50
30,2,21,1,0,1,2,15,0
30,1,16,2,30,0,6,30,15
30,3,12,1,10,1,7,25,25
40,1,17,-2,20,0,4,50,0
30,2,5,1,25,0,9,20,25
30,1,12,2,30,1,7,0,60
30,1,18,1,0,1,6,0,0
40,1,13,1,0,1,7,10,0
30,1,10,2,0,1,9,0,0
20,2,9,2,3,1,9,10,20
30,2,16,2,10,0,9,15,30
50,1,32,1,0,1,9,0,0
50,2,40,1,15,1,10,25,25
40,2,25,2,14,0,6,30,20
50,1,33,2,10,1,7,30,5
50,2,20,1,0,0,3,0,0
40,2,26,2,35,1,9,20,15
30,2,12,1,0,1,5,0,0
30,1,20,2,0,0,3,0,0
30,1,17,2,0,1,0,25,35
20,3,10,1,0,1,10,0,0
60,2,32,0,15,0,8,0,40
40,1,20,2,10,1,8,20,10
30,2,12,1,30,1,8,30,0
40,1,24,2,10,1,10,20,10
40,1,30,2,0,1,2,0,0
30,3,11,1,100,1,10,95,30
30,1,11,1,20,1,10,30,10
20,2,10,2,15,0,7,10,40
50,3,33,1,30,0,2,15,30
40,2,4,1,10,1,9,25,5
40,2,35,1,0,1,9,40,20
20,2,13,1,20,1,5,15,35
50,1,30,-1,0,1,8,0,0
40,2,23,1,15,1,7,25,15
50,1,35,1,0,0,9,0,0
30,2,14,1,50,1,9,0,10
20,3,16,1,0,1,2,0,0
30,1,19,1,80,1,8,5,3
60,1,45,0,80,0,9,100,100
30,2,12,2,5,1,8,10,25
30,3,16,1,0,1,5,0,0
50,2,30,1,0,1,8,0,0
20,3,2,1,20,1,7,10,10
50,1,22,2,20,1,2,25,10
30,1,9,2,0,1,8,0,0
50,1,36,1,10,1,8,30,5
40,3,12,2,0,0,8,0,0
40,2,34,2,0,0,7,20,30
30,3,21,2,30,0,8,10,30
30,3,12,1,29,0,8,2,38
40,1,20,1,10,1,7,15,50
30,2,15,1,10,1,9,10,40
30,1,16,2,30,1,8,15,20
50,2,28,1,20,0,5,30,0
40,2,27,1,10,1,8,20,0
20,2,5,2,10,1,4,20,10
40,3,19,2,0,0,8,20,10
65,1,48,1,0,1,10,5,50
40,1,10,1,20,1,2,50,0
40,2,32,2,20,0,7,20,15
40,3,15,1,0,0,8,20,50
30,1,9,2,10,0,9,15,5
40,3,20,1,15,1,2,20,0
30,2,7,1,0,0,8,0,0
40,2,23,1,10,0,5,15,30
40,1,19,2,35,1,8,25,5
40,1,18,2,30,0,9,20,10
40,1,21,2,0,1,7,0,0
40,2,12,0,20,0,8,20,20
40,1,15,0,0,0,1,10,30
50,1,10,2,0,0,6,80,50
50,2,20,2,60,1,8,0,0
30,1,16,2,15,1,1,25,10
30,1,17,2,0,0,2,25,8
40,2,25,1,0,0,2,0,0
30,3,10,0,5,1,8,15,5
40,1,20,0,0,1,6,30,0
40,1,24,2,50,1,7,90,50
50,2,42,2,15,0,10,15,10
20,1,5,1,0,1,9,0,0
30,2,16,2,15,1,8,30,20
50,1,38,2,0,0,7,50,10
40,1,22,2,60,1,0,80,50
40,2,16,1,25,1,9,25,10
30,2,16,2,50,1,10,0,0
20,1,8,2,0,1,6,0,0
30,2,11,2,25,0,9,45,0
30,2,9,2,10,1,9,20,20
40,1,23,0,5,1,6,40,10
40,2,18,1,10,1,6,50,0
40,1,37,2,20,1,8,10,20
50,1,39,1,0,1,6,0,0
30,2,6,0,0,0,7,0,0
30,3,6,1,5,1,7,20,30
30,1,16,1,5,1,6,15,15
60,1,44,2,50,1,8,20,0
30,2,10,0,0,1,5,30,10
30,3,6,-1,15,1,7,15,10
60,1,45,1,0,0,8,30,40
60,3,28,2,0,0,10,0,0
30,2,10,1,20,1,7,30,20
30,1,7,-2,0,0,0,10,10
65,3,38,1,0,0,9,0,100
40,1,15,2,0,0,5,0,0
40,1,10,2,5,1,10,10,30
30,1,6,2,10,1,8,20,0
30,3,8,2,50,1,9,40,0
40,1,23,1,20,1,6,10,10
30,2,14,2,0,1,8,30,20
40,2,30,2,50,1,8,30,0
30,1,15,2,33,0,3,34,33
60,2,42,1,35,0,10,35,10
30,2,18,2,10,1,10,20,10
40,2,12,2,20,1,9,30,10
30,3,9,0,70,0,5,80,80
30,1,11,1,0,1,5,25,25
50,1,37,-1,15,1,8,20,15
20,1,10,1,0,1,7,30,20
50,2,34,0,20,1,10,16,17
60,1,30,-2,40,1,6,0,0
40,1,28,1,5,0,9,10,0
40,1,9,2,20,1,9,70,90
30,2,6,2,50,1,10,90,60
40,1,27,1,30,0,7,40,15
30,2,8,1,0,0,7,20,20
20,2,4,2,90,1,8,100,80
40,2,22,2,30,1,9,20,20
30,1,14,2,0,1,4,0,0
50,3,35,1,10,0,8,20,13
50,2,38,1,20,0,6,35,0
30,2,8,2,0,1,8,0,0
50,2,35,2,0,1,7,0,0
20,1,12,2,10,1,10,15,15
50,2,40,2,30,1,6,25,15
50,1,29,1,10,0,8,20,15
40,1,21,1,15,1,7,30,10
30,2,10,1,0,0,10,0,0
20,2,10,-1,0,1,5,50,70
30,1,7,0,0,1,3,25,25
40,2,24,1,17,0,8,10,30
40,1,15,2,30,0,8,10,15
20,3,7,1,5,1,7,5,5
30,1,12,2,70,0,8,100,80
30,1,7,2,60,0,6,100,100
40,2,27,1,80,1,10,90,90
20,2,4,1,10,0,8,80,100
20,2,5,1,25,1,7,15,10
30,1,8,2,10,1,10,10,20
20,1,3,1,0,1,7,10,20
30,3,5,2,0,1,5,40,40
30,1,14,1,67,1,6,78,68
30,1,9,1,10,1,6,10,30
40,2,4,1,60,1,7,70,70
30,3,23,2,20,0,7,10,25
30,2,19,1,0,0,7,20,30
40,2,29,2,30,1,7,10,20
30,2,10,2,0,1,4,0,0
40,2,20,1,0,1,4,0,0
50,2,30,0,34,1,5,5,20
40,1,27,1,0,1,6,0,0
50,1,32,2,0,0,10,0,90
20,2,12,1,0,1,2,0,0
30,1,12,1,15,0,9,25,25
50,1,28,1,100,0,6,80,100
60,3,30,2,0,0,2,0,0
30,2,13,1,15,1,3,10,15
40,3,10,2,0,1,6,10,20
40,2,10,0,7,1,8,7,6
50,2,35,2,10,1,8,30,10
30,3,6,2,2,1,5,7,0
30,3,11,2,40,0,6,20,0
30,3,17,1,90,1,10,90,90
30,2,20,2,15,1,8,10,10
40,2,25,2,20,0,3,20,20
50,2,34,2,10,0,8,20,10
30,3,14,1,0,1,6,20,5
30,2,20,1,0,1,9,50,0
30,2,17,-1,20,0,1,80,5
40,2,20,-1,30,0,6,15,10
30,2,14,2,0,0,8,0,0
40,2,25,2,30,1,7,0,10
30,2,16,2,20,1,7,20,30
40,1,30,1,0,1,5,20,10
30,1,9,1,25,0,8,15,25
20,2,12,2,9,1,4,30,15
30,1,15,2,15,0,10,15,20
30,2,15,0,0,1,9,10,5
30,2,12,1,5,1,9,20,13
30,1,10,1,10,0,8,40,20
30,1,9,1,0,1,4,30,30
30,1,10,2,25,1,7,25,10
40,1,17,1,0,1,6,0,0
40,2,18,1,70,0,6,90,10
40,2,10,1,0,1,8,30,10
40,1,26,1,25,1,8,25,5
50,2,25,0,40,1,7,40,0
30,1,10,2,10,1,8,5,0
20,2,5,1,0,1,6,0,0
40,3,12,2,20,1,10,0,20
50,1,32,2,0,1,9,0,0
30,1,12,1,0,1,8,0,0
20,3,6,1,80,1,7,50,30
30,1,8,1,30,1,8,85,80
40,2,21,2,10,1,6,30,0
40,2,15,2,0,1,8,0,0
30,2,15,1,0,0,8,60,20
50,3,10,1,0,0,1,0,0
40,1,18,1,20,1,9,10,0
60,1,55,2,15,1,8,20,15
30,1,6,0,0,0,9,20,0
40,2,24,2,30,1,6,20,10
40,1,27,1,5,0,8,30,35
40,1,28,1,10,1,8,25,20
40,1,15,-1,0,1,7,0,0
30,1,6,0,0,0,7,50,0
40,1,25,1,80,0,7,90,80
30,2,8,1,0,1,6,1,50
40,1,4,1,50,1,6,0,75
60,1,39,1,0,0,10,20,10
30,1,8,1,60,0,3,100,70
30,1,13,1,0,1,0,90,90
40,2,20,1,20,0,5,25,25
50,2,40,2,0,0,5,20,20
30,3,8,1,0,1,6,80,0
40,1,15,2,0,0,7,0,0
30,1,10,0,18,1,7,5,18
40,1,15,1,0,1,4,0,0
40,1,26,2,15,0,8,25,15
40,2,16,1,95,1,7,80,0
30,1,15,2,40,1,9,9,25
20,3,11,1,0,0,10,0,0
50,2,30,2,20,1,10,50,15
30,3,7,1,0,0,7,0,10
50,1,43,1,0,0,8,50,30
40,2,28,1,30,0,8,15,15
50,3,32,1,0,1,0,0,0
40,1,27,2,15,1,9,5,20
30,1,19,1,20,0,4,20,20
40,1,25,1,0,0,3,10,0
30,1,10,2,0,1,0,0,0
30,1,11,2,0,1,6,0,0
30,1,16,2,100,1,8,60,0
30,2,7,-1,90,1,6,90,90
30,2,10,1,10,0,7,20,20
30,2,10,1,0,1,6,35,40
40,2,25,2,10,0,8,20,20
30,1,13,-2,20,1,1,35,10
30,2,9,1,7,0,8,9,8
30,1,15,1,30,1,8,10,20
40,2,19,1,0,0,7,0,0
30,3,8,1,100,1,8,100,100
60,2,38,2,10,1,10,10,10
20,2,10,2,0,0,9,0,0
50,1,25,1,40,0,7,30,0
30,3,15,2,0,0,10,20,15
50,1,35,1,10,0,10,15,15
40,1,12,1,5,1,8,40,0
20,2,7,0,20,1,8,20,15
20,3,4,-1,10,1,2,25,20
40,3,12,0,0,1,5,0,0
20,2,8,1,0,1,8,10,80
30,2,20,2,20,0,10,20,0
40,2,22,2,11,1,8,15,13
30,1,16,2,0,1,10,50,30
40,2,22,2,100,1,8,100,100
30,2,8,1,80,0,7,80,70
20,3,6,0,15,1,7,15,10
30,2,11,1,25,1,7,50,0
50,2,44,1,10,0,6,20,40
30,1,12,2,0,0,7,0,0
30,3,9,-1,0,0,9,30,20
40,2,15,2,50,1,4,50,0
30,2,10,2,20,1,6,20,10
30,1,12,1,8,1,7,9,10
50,1,25,1,0,1,6,0,0
20,2,9,1,20,1,7,30,15
30,3,11,2,0,1,10,5,50
50,2,30,1,0,0,7,14,8
30,1,15,1,20,1,9,15,15
40,2,27,2,15,1,6,10,20
40,1,19,1,0,0,8,30,0
40,1,23,2,0,1,9,20,20
20,2,7,1,80,1,8,60,90
20,1,7,2,25,1,8,15,30
40,1,26,1,0,0,6,0,0
30,1,15,2,10,0,8,40,15
40,3,15,1,0,0,9,30,20
50,1,30,1,25,1,9,35,5
30,2,23,1,5,0,8,20,20
30,1,11,1,10,1,8,20,15
30,3,10,1,10,1,7,20,15
60,1,42,-2,10,1,9,10,10
20,2,14,2,0,1,6,0,0
40,1,11,2,10,1,7,30,20
50,3,38,1,0,0,5,0,0
30,1,15,2,15,1,8,20,10
30,1,10,0,10,0,2,45,20
40,2,26,1,70,1,8,90,85
30,2,6,1,10,1,8,40,20
60,1,35,0,0,0,8,50,20
30,3,16,2,25,1,9,0,25
20,3,5,2,80,1,3,100,60
30,2,21,1,0,1,7,0,0
40,2,31,1,15,0,8,15,25
30,2,4,1,0,0,7,100,100
60,3,45,2,0,0,10,0,0
30,1,5,2,100,1,8,70,80
20,2,9,1,30,1,7,10,30
40,2,19,2,10,1,9,15,10
20,3,4,-1,0,1,7,0,30
30,2,15,2,10,1,7,9,9
30,1,5,1,25,0,9,25,10
40,2,25,1,0,0,7,0,0
30,2,12,2,80,1,8,80,100
30,1,13,1,15,1,7,30,30
40,1,25,1,1,0,3,2,10
20,1,7,0,0,1,9,0,0
40,1,24,-1,0,0,6,0,0
30,1,18,1,0,1,8,40,10
30,2,9,1,15,1,7,31,10
30,1,7,0,10,1,6,35,5
30,2,15,2,0,1,10,50,40
40,1,5,2,0,1,8,20,30
30,2,12,1,10,1,8,20,10
40,2,12,0,50,0,3,30,30
30,2,15,2,20,0,10,40,0
30,3,14,1,10,0,4,10,7
30,3,3,1,0,1,6,0,0
40,2,23,2,25,1,6,10,25
30,2,15,2,20,1,7,10,20
40,2,25,1,0,1,10,0,0
30,2,10,1,0,1,8,0,0
40,1,20,1,15,1,7,10,15
50,2,30,2,30,1,10,30,30
40,1,19,0,0,0,7,50,20
50,2,33,1,10,0,8,30,15
30,2,18,2,20,0,10,20,20
20,3,2,1,20,1,8,0,55
40,1,8,1,0,1,7,40,20
20,3,5,2,0,1,2,0,0
30,3,10,2,50,1,8,90,80
30,2,8,2,30,1,8,20,0
40,1,27,1,20,0,7,20,0
50,1,23,1,10,1,7,10,12
40,1,12,2,0,1,7,25,25
60,1,44,2,0,0,5,0,0
50,1,33,1,0,1,7,0,0
20,1,11,2,0,1,4,30,20
40,2,23,2,0,0,9,40,0
40,1,7,2,20,1,8,15,10
30,2,11,-2,0,1,4,35,0
40,3,18,1,100,1,8,100,100
60,1,30,1,5,1,8,25,15
50,1,37,2,20,0,9,10,0
50,1,25,0,10,1,7,35,10
40,1,20,2,10,1,6,12,25
30,1,14,2,0,1,3,0,50
20,2,5,2,0,1,8,10,20
30,2,8,0,10,1,5,50,10
30,2,8,1,0,0,7,0,0
30,2,7,2,50,0,7,90,30
40,3,31,1,0,0,8,0,50
40,1,20,2,5,0,6,30,20
30,1,12,1,5,1,7,40,10
50,1,39,2,10,1,10,20,20
30,2,11,2,0,0,8,50,25
40,1,15,0,15,0,9,15,15
40,1,24,1,0,1,9,10,35
40,2,24,2,20,0,7,30,30
60,1,44,1,15,1,8,0,20
20,2,4,-1,0,1,5,30,0
30,2,14,2,45,1,9,25,10
40,1,25,-1,0,0,7,60,10
40,1,17,-1,70,1,6,50,70
30,2,6,1,0,1,8,15,0
40,2,25,1,20,0,8,30,10
30,1,11,-1,0,0,6,0,0
30,2,5,2,5,1,10,40,10
30,1,10,-1,30,0,7,90,90
30,2,13,1,0,1,5,0,0
40,3,15,2,10,0,5,100,100
40,2,25,2,0,0,10,0,40
30,2,10,2,20,1,9,40,20
30,1,8,0,0,1,9,0,0
40,1,24,2,30,0,8,0,30
20,1,3,-2,0,0,8,10,30
40,1,20,2,20,0,8,10,20
30,2,16,1,10,1,0,20,10
40,2,28,1,10,1,9,10,15
40,3,25,2,0,0,9,30,5
30,3,10,2,0,0,7,0,0
30,1,14,2,100,1,10,25,25
30,1,10,1,0,1,5,0,0
18,3,5,-2,5,1,8,30,20
30,2,12,-1,3,0,3,20,12
40,2,14,1,0,0,9,0,0
50,1,44,1,15,1,6,15,15
30,2,9,1,0,1,8,0,0
30,1,8,1,60,1,6,80,0
40,1,30,2,40,1,3,30,0
50,1,35,1,25,1,10,25,25
50,1,38,2,15,1,9,15,15
40,1,23,2,20,1,9,10,30
40,1,25,-1,0,1,4,0,0
30,1,11,1,20,0,10,20,20
30,1,14,2,40,1,5,30,20
30,2,10,2,40,1,7,0,0
20,2,8,2,0,1,7,50,0
30,1,10,1,5,0,7,15,15
30,2,12,2,0,0,6,30,50
50,2,30,1,0,0,5,50,10
20,1,3,0,0,1,10,0,0
30,1,11,2,10,1,9,20,20
40,2,8,1,10,1,5,20,10
30,3,5,-1,90,0,7,90,30
40,1,6,1,10,1,2,10,40
50,3,39,1,30,0,9,30,30
40,1,15,2,0,1,9,0,0
30,2,10,2,20,0,8,10,0
30,2,13,2,25,1,7,10,5
20,2,9,2,0,0,8,40,5
40,2,15,1,100,0,10,50,100
30,1,12,1,100,1,8,100,90
40,1,14,1,20,1,4,30,25
60,1,41,1,20,0,9,25,20
50,3,39,1,10,0,7,0,20
60,1,40,1,10,1,7,15,10
30,1,9,1,30,1,8,20,0
30,2,13,2,0,0,7,0,0
60,1,23,2,30,0,6,70,0
40,1,27,2,10,1,9,70,10
30,2,12,1,0,0,7,40,20
40,2,19,2,0,0,8,50,10
30,1,12,1,8,0,5,11,5
40,2,19,1,90,1,8,90,70
40,2,10,2,15,0,7,15,5
50,1,20,2,13,1,8,18,21
40,1,8,1,0,1,8,80,0
40,2,24,2,0,1,8,0,0
40,1,30,1,10,0,6,23,20
40,1,15,2,15,1,5,20,10
30,1,10,1,5,0,7,40,10
30,1,17,1,20,1,5,10,10
20,1,7,1,0,1,8,0,0
40,1,7,2,20,1,6,10,0
30,1,10,1,22,1,7,28,15
30,2,4,1,80,1,8,90,7
60,3,35,1,20,1,7,10,20
40,1,26,2,20,0,8,30,30
40,3,14,-1,10,1,3,20,30
20,2,14,2,10,0,7,10,10
40,2,20,0,0,1,7,20,0
30,2,14,2,0,0,6,0,0
30,1,13,0,0,1,10,0,0
50,2,24,1,10,0,9,30,50
